,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
516,Delhi Daredevils,Rajasthan Royals,152.0,156.0,Rajasthan Royals,Field,Royals,7 wickets,Karun Nair,Feroz Shah Kotla,Delhi
517,Sunrisers Hyderabad,Royal Challengers Bangalore,155.0,158.0,Royal Challengers Bangalore,Field,RCB,4 wickets,AB de Villiers,M Chinnaswamy Stadium,Bangalore
518,Rajasthan Royals,Kolkata Knight Riders,170.0,160.0,Kolkata Knight Riders,Field,Royals,10 runs,Pravin Tambe,Sardar Patel Stadium,Motera
519,Delhi Daredevils,Chennai Super Kings,178.0,181.0,Chennai Super Kings,Field,Super,8 wickets,Dwayne Smith,Feroz Shah Kotla,Delhi
520,Mumbai Indians,Royal Challengers Bangalore,187.0,168.0,Royal Challengers Bangalore,Field,Mumbai,19 runs,Rohit Sharma,Wankhede Stadium,Mumbai
521,Delhi Daredevils,Kolkata Knight Riders,160.0,161.0,Delhi Daredevils,Bat,KKR,8 wickets,Gautam Gambhir,Feroz Shah Kotla,Delhi
522,Kings XI Punjab,Chennai Super Kings,231.0,187.0,Chennai Super Kings,Field,Kings,44 runs,Glenn Maxwell,Barabati Stadium,Cuttack
523,Sunrisers Hyderabad,Rajasthan Royals,134.0,102.0,Rajasthan Royals,Field,Sunrisers,32 runs,Bhuvneshwar Kumar,Sardar Patel Stadium,Motera
524,Kings XI Punjab,Royal Challengers Bangalore,198.0,166.0,Royal Challengers Bangalore,Field,Kings,32 runs,Sandeep Sharma,M Chinnaswamy Stadium,Bangalore
525,Delhi Daredevils,Sunrisers Hyderabad,143.0,44.0,Sunrisers Hyderabad,Field,Sunrisers,8 wickets,Dale Steyn,Feroz Shah Kotla,Delhi
526,Mumbai Indians,Chennai Super Kings,157.0,160.0,Chennai Super Kings,Field,Super,4 wickets,Dwayne Smith,Wankhede Stadium,Mumbai
527,Kings XI Punjab,Kolkata Knight Riders,149.0,150.0,Kolkata Knight Riders,Field,KKR,9 wickets,Gautam Gambhir,Barabati Stadium,Cuttack
528,Royal Challengers Bangalore,Rajasthan Royals,190.0,191.0,Royal Challengers Bangalore,Bat,Royals,5 wickets,James Faulkner,M Chinnaswamy Stadium,Bangalore
529,Sunrisers Hyderabad,Mumbai Indians,157.0,160.0,Sunrisers Hyderabad,Bat,Mumbai,7 wickets,Ambati Rayudu,Rajiv Gandhi International Stadium,Uppal
530,Rajasthan Royals,Chennai Super Kings,148.0,149.0,Rajasthan Royals,Bat,Super,5 wickets,Ravindra Jadeja,JSCA International Stadium Complex,Ranchi
531,Royal Challengers Bangalore,Delhi Daredevils,186.0,170.0,Delhi Daredevils,Field,RCB,16 runs,Yuvraj Singh,M Chinnaswamy Stadium,Bangalore
532,Sunrisers Hyderabad,Kings XI Punjab,205.0,211.0,Kings XI Punjab,Field,Kings,6 wickets,Wriddhiman Saha,Rajiv Gandhi International Stadium,Uppal
533,Mumbai Indians,Kolkata Knight Riders,141.0,142.0,Kolkata Knight Riders,Field,KKR,6 wickets,Robin Uthappa,Barabati Stadium,Cuttack
534,Rajasthan Royals,Delhi Daredevils,201.0,139.0,Delhi Daredevils,Field,Royals,62 runs,Ajinkya Rahane,Sardar Patel Stadium,Motera
535,Chennai Super Kings,Royal Challengers Bangalore,138.0,142.0,Chennai Super Kings,Bat,RCB,5 wickets,AB de Villiers,JSCA International Stadium Complex,Ranchi
536,Sunrisers Hyderabad,Kolkata Knight Riders,142.0,146.0,Sunrisers Hyderabad,Bat,KKR,7 wickets,Umesh Yadav,Rajiv Gandhi International Stadium,Uppal
537,Mumbai Indians,Rajasthan Royals,178.0,153.0,Mumbai Indians,Bat,Mumbai,25 runs,Michael Hussey,Sardar Patel Stadium,Motera
538,Delhi Daredevils,Kings XI Punjab,164.0,165.0,Kings XI Punjab,Field,Kings,4 wickets,Axar Patel,Feroz Shah Kotla,Delhi
539,Royal Challengers Bangalore,Sunrisers Hyderabad,160.0,161.0,Royal Challengers Bangalore,Bat,Sunrisers,7 wickets,David Warner,Rajiv Gandhi International Stadium,Uppal
540,Chennai Super Kings,Kolkata Knight Riders,154.0,156.0,Kolkata Knight Riders,Field,KKR,8 wickets,Robin Uthappa,Eden Gardens,Kolkata
541,Kings XI Punjab,Mumbai Indians,156.0,159.0,Mumbai Indians,Field,Mumbai,7 wickets,Lendl Simmons,Punjab Cricket Association Stadium,Mohali
542,Kolkata Knight Riders,Royal Challengers Bangalore,195.0,165.0,Royal Challengers Bangalore,Field,KKR,30 runs,Robin Uthappa,Eden Gardens,Kolkata
543,Chennai Super Kings,Sunrisers Hyderabad,185.0,189.0,Sunrisers Hyderabad,Field,Sunrisers,6 wickets,David Warner,JSCA International Stadium Complex,Ranchi
544,Mumbai Indians,Delhi Daredevils,173.0,158.0,Delhi Daredevils,Field,Mumbai,15 runs,Michael Hussey,Wankhede Stadium,Mumbai
545,Kings XI Punjab,Rajasthan Royals,179.0,163.0,Rajasthan Royals,Field,Kings,16 runs,Shaun Marsh,Punjab Cricket Association Stadium,Mohali
546,Royal Challengers Bangalore,Chennai Super Kings,154.0,160.0,Chennai Super Kings,Field,Super,8 wickets,MS Dhoni,M Chinnaswamy Stadium,Bangalore
547,Sunrisers Hyderabad,Kolkata Knight Riders,160.0,161.0,Kolkata Knight Riders,Field,KKR,4 wickets,Yusuf Pathan,Eden Gardens,Kolkata
548,Delhi Daredevils,Kings XI Punjab,115.0,119.0,Kings XI Punjab,Field,Kings,7 wickets,Manan Vohra,Punjab Cricket Association Stadium,Mohali
549,Rajasthan Royals,Mumbai Indians,189.0,195.0,Mumbai Indians,Field,Mumbai,5 wickets,Corey Anderson,Wankhede Stadium,Mumbai
550,Kolkata Knight Riders,Kings XI Punjab,163.0,135.0,Kings XI Punjab,Field,KKR,28 runs,Umesh Yadav,Eden Gardens,Kolkata
551,Mumbai Indians,Chennai Super Kings,173.0,176.0,Chennai Super Kings,Field,Super,7 wickets,Suresh Raina,Brabourne Stadium,Mumbai
552,Kings XI Punjab,Chennai Super Kings,226.0,202.0,Chennai Super Kings,Field,Kings,24 runs,Virender Sehwag,Wankhede Stadium,Mumbai
553,Kings XI Punjab,Kolkata Knight Riders,199.0,200.0,Kolkata Knight Riders,Field,KKR,3 wickets,Manish Pandey,M Chinnaswamy Stadium,Bangalore
554,Delhi Daredevils,Kolkata Knight Riders,128.0,129.0,Kolkata Knight Riders,Field,KKR,6 wickets,Sunil Narine,Eden Gardens,Kolkata
555,Royal Challengers Bangalore,Mumbai Indians,156.0,154.0,Mumbai Indians,Field,RCB,2 runs,Chris Gayle,M Chinnaswamy Stadium,Bangalore
556,Sunrisers Hyderabad,Pune Warriors,126.0,104.0,Pune Warriors,Field,Sunrisers,22 runs,Amit Mishra,Rajiv Gandhi International Stadium,Uppal
557,Rajasthan Royals,Delhi Daredevils,165.0,160.0,Rajasthan Royals,Bat,Royals,5 runs,Rahul Dravid,Feroz Shah Kotla,Delhi
558,Mumbai Indians,Chennai Super Kings,148.0,139.0,Mumbai Indians,Bat,Mumbai,9 runs,Kieron Pollard,MA Chidambaram Stadium,Chepauk
559,Pune Warriors,Kings XI Punjab,99.0,100.0,Pune Warriors,Bat,Kings,8 wickets,Manan Vohra,Subrata Roy Sahara Stadium,Pune
