,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
0,Chennai Super Kings,Kolkata Knight Riders,131.0,133.0,Kolkata Knight Riders,Field,KKR,6 wickets,Umesh Yadav,Wankhede Stadium,Mumbai
1,Mumbai Indians,Delhi Capitals,177.0,179.0,Delhi Capitals,Field,Capitals,4 wickets,Kuldeep Yadav,Brabourne Stadium,Mumbai
2,Royal Challengers Bangalore,Punjab Kings,205.0,208.0,Punjab Kings,Field,Punjab,5 wickets,Odean Smith,Dr DY Patil Sports Academy,Mumbai
3,Lucknow Super Giants,Gujarat Titans,158.0,161.0,Gujarat Titans,Field,Titans,5 wickets,Mohammed Shami,Wankhede Stadium,Mumbai
4,Rajasthan Royals,Sunrisers Hyderabad,210.0,149.0,Sunrisers Hyderabad,Field,Royals,61 runs,Sanju Samson,Maharashtra Cricket Association Stadium,Pune
5,Kolkata Knight Riders,Royal Challengers Bangalore,128.0,132.0,Royal Challengers Bangalore,Field,RCB,3 wickets,Wanindu Hasaranga de Silva,Dr DY Patil Sports Academy,Mumbai
6,Chennai Super Kings,Lucknow Super Giants,210.0,211.0,Lucknow Super Giants,Field,Super,6 wickets,Evin Lewis,Brabourne Stadium,Mumbai
7,Punjab Kings,Kolkata Knight Riders,137.0,141.0,Kolkata Knight Riders,Field,KKR,6 wickets,Umesh Yadav,Wankhede Stadium,Mumbai
8,Rajasthan Royals,Mumbai Indians,193.0,170.0,Mumbai Indians,Field,Royals,23 runs,Jos Buttler,Dr DY Patil Sports Academy,Mumbai
9,Gujarat Titans,Delhi Capitals,171.0,157.0,Delhi Capitals,Field,Titans,14 runs,Lockie Ferguson,Maharashtra Cricket Association Stadium,Pune
10,Punjab Kings,Chennai Super Kings,180.0,126.0,Chennai Super Kings,Field,Punjab,54 runs,Liam Livingstone,Brabourne Stadium,Mumbai
11,Lucknow Super Giants,Sunrisers Hyderabad,169.0,157.0,Sunrisers Hyderabad,Field,Super,12 runs,Avesh Khan,Dr DY Patil Sports Academy,Mumbai
12,Rajasthan Royals,Royal Challengers Bangalore,169.0,173.0,Royal Challengers Bangalore,Field,RCB,4 wickets,Dinesh Karthik,Wankhede Stadium,Mumbai
13,Mumbai Indians,Kolkata Knight Riders,161.0,162.0,Kolkata Knight Riders,Field,KKR,5 wickets,Pat Cummins,Maharashtra Cricket Association Stadium,Pune
14,Delhi Capitals,Lucknow Super Giants,149.0,155.0,Lucknow Super Giants,Field,Super,6 wickets,Quinton de Kock,Dr DY Patil Sports Academy,Mumbai
15,Punjab Kings,Gujarat Titans,189.0,190.0,Gujarat Titans,Field,Titans,6 wickets,Shubman Gill,Brabourne Stadium,Mumbai
16,Chennai Super Kings,Sunrisers Hyderabad,154.0,155.0,Sunrisers Hyderabad,Field,Sunrisers,8 wickets,Abhishek Sharma,Dr DY Patil Sports Academy,Mumbai
17,Mumbai Indians,Royal Challengers Bangalore,151.0,152.0,Royal Challengers Bangalore,Field,RCB,7 wickets,Anuj Rawat,Maharashtra Cricket Association Stadium,Pune
18,Delhi Capitals,Kolkata Knight Riders,215.0,171.0,Kolkata Knight Riders,Field,Capitals,44 runs,Kuldeep Yadav,Brabourne Stadium,Mumbai
19,Rajasthan Royals,Lucknow Super Giants,165.0,162.0,Lucknow Super Giants,Field,Royals,3 runs,Yuzvendra Chahal,Wankhede Stadium,Mumbai
20,Gujarat Titans,Sunrisers Hyderabad,162.0,168.0,Sunrisers Hyderabad,Field,Sunrisers,8 wickets,Kane Williamson,Dr DY Patil Sports Academy,Mumbai
21,Chennai Super Kings,Royal Challengers Bangalore,216.0,193.0,Royal Challengers Bangalore,Field,Super,23 runs,Shivam Dube,Dr DY Patil Sports Academy,Mumbai
22,Punjab Kings,Mumbai Indians,198.0,186.0,Mumbai Indians,Field,Punjab,12 runs,Mayank Agarwal,Maharashtra Cricket Association Stadium,Pune
23,Gujarat Titans,Rajasthan Royals,192.0,155.0,Rajasthan Royals,Field,Titans,37 runs,Hardik Pandya,Dr DY Patil Sports Academy,Mumbai
24,Kolkata Knight Riders,Sunrisers Hyderabad,175.0,176.0,Sunrisers Hyderabad,Field,Sunrisers,7 wickets,Rahul Tripathi,Brabourne Stadium,Mumbai
25,Lucknow Super Giants,Mumbai Indians,199.0,181.0,Mumbai Indians,Field,Super,18 runs,KL Rahul,Brabourne Stadium,Mumbai
26,Royal Challengers Bangalore,Delhi Capitals,189.0,173.0,Delhi Capitals,Field,RCB,16 runs,Dinesh Karthik,Wankhede Stadium,Mumbai
27,Punjab Kings,Sunrisers Hyderabad,151.0,152.0,Sunrisers Hyderabad,Field,Sunrisers,7 wickets,Umran Malik,Dr DY Patil Sports Academy,Mumbai
28,Chennai Super Kings,Gujarat Titans,169.0,170.0,Gujarat Titans,Field,Titans,3 wickets,David Miller,Maharashtra Cricket Association Stadium,Pune
29,Rajasthan Royals,Kolkata Knight Riders,217.0,210.0,Kolkata Knight Riders,Field,Royals,7 runs,Yuzvendra Chahal,Brabourne Stadium,Mumbai
30,Royal Challengers Bangalore,Lucknow Super Giants,181.0,163.0,Lucknow Super Giants,Field,RCB,18 runs,Faf du Plessis,Dr DY Patil Sports Academy,Mumbai
31,Punjab Kings,Delhi Capitals,115.0,119.0,Delhi Capitals,Field,Capitals,9 wickets,Kuldeep Yadav,Brabourne Stadium,Mumbai
32,Mumbai Indians,Chennai Super Kings,155.0,156.0,Chennai Super Kings,Field,Super,3 wickets,Mukesh Choudhary,Dr DY Patil Sports Academy,Mumbai
33,Rajasthan Royals,Delhi Capitals,222.0,207.0,Delhi Capitals,Field,Royals,15 runs,Jos Buttler,Wankhede Stadium,Mumbai
34,Gujarat Titans,Kolkata Knight Riders,156.0,148.0,Gujarat Titans,Bat,Titans,8 runs,Rashid Khan,Dr DY Patil Sports Academy,Mumbai
35,Royal Challengers Bangalore,Sunrisers Hyderabad,68.0,72.0,Sunrisers Hyderabad,Field,Sunrisers,9 wickets,Marco Jansen,Brabourne Stadium,Mumbai
36,Lucknow Super Giants,Mumbai Indians,168.0,132.0,Mumbai Indians,Field,Super,36 runs,KL Rahul,Wankhede Stadium,Mumbai
37,Punjab Kings,Chennai Super Kings,187.0,176.0,Chennai Super Kings,Field,Punjab,11 runs,Shikhar Dhawan,Wankhede Stadium,Mumbai
38,Rajasthan Royals,Royal Challengers Bangalore,144.0,115.0,Royal Challengers Bangalore,Field,Royals,29 runs,Riyan Parag,Maharashtra Cricket Association Stadium,Pune
39,Sunrisers Hyderabad,Gujarat Titans,195.0,199.0,Gujarat Titans,Field,Titans,5 wickets,Umran Malik,Wankhede Stadium,Mumbai
40,Kolkata Knight Riders,Delhi Capitals,146.0,150.0,Delhi Capitals,Field,Capitals,4 wickets,Kuldeep Yadav,Wankhede Stadium,Mumbai
41,Lucknow Super Giants,Punjab Kings,153.0,133.0,Punjab Kings,Field,Super,20 runs,Krunal Pandya,Maharashtra Cricket Association Stadium,Pune
42,Royal Challengers Bangalore,Gujarat Titans,170.0,174.0,Royal Challengers Bangalore,Bat,Titans,6 wickets,Rahul Tewatia,Brabourne Stadium,Mumbai
43,Rajasthan Royals,Mumbai Indians,158.0,161.0,Mumbai Indians,Field,Mumbai,5 wickets,Suryakumar Yadav,Dr DY Patil Sports Academy,Mumbai
44,Lucknow Super Giants,Delhi Capitals,195.0,189.0,Lucknow Super Giants,Bat,Super,6 runs,Mohsin Khan,Wankhede Stadium,Mumbai
45,Chennai Super Kings,Sunrisers Hyderabad,202.0,189.0,Sunrisers Hyderabad,Field,Super,13 runs,Ruturaj Gaikwad,Maharashtra Cricket Association Stadium,Pune
46,Rajasthan Royals,Kolkata Knight Riders,152.0,158.0,Kolkata Knight Riders,Field,KKR,7 wickets,Rinku Singh,Wankhede Stadium,Mumbai
47,Gujarat Titans,Punjab Kings,143.0,145.0,Gujarat Titans,Bat,Punjab,8 wickets,Kagiso Rabada,Dr DY Patil Sports Academy,Mumbai
48,Royal Challengers Bangalore,Chennai Super Kings,173.0,160.0,Chennai Super Kings,Field,RCB,13 runs,Harshal Patel,Maharashtra Cricket Association Stadium,Pune
49,Delhi Capitals,Sunrisers Hyderabad,207.0,186.0,Sunrisers Hyderabad,Field,Capitals,21 runs,David Warner,Brabourne Stadium,Mumbai
50,Mumbai Indians,Gujarat Titans,177.0,172.0,Gujarat Titans,Field,Mumbai,5 runs,Tim David,Brabourne Stadium,Mumbai
51,Punjab Kings,Rajasthan Royals,189.0,190.0,Punjab Kings,Bat,Royals,6 wickets,Yashasvi Jaiswal,Wankhede Stadium,Mumbai
52,Lucknow Super Giants,Kolkata Knight Riders,176.0,101.0,Kolkata Knight Riders,Field,Super,75 runs,Avesh Khan,Maharashtra Cricket Association Stadium,Pune
53,Royal Challengers Bangalore,Sunrisers Hyderabad,192.0,125.0,Royal Challengers Bangalore,Bat,RCB,67 runs,Wanindu Hasaranga de Silva,Wankhede Stadium,Mumbai
54,Chennai Super Kings,Delhi Capitals,208.0,117.0,Delhi Capitals,Field,Super,91 runs,Devon Conway,Dr DY Patil Sports Academy,Mumbai
55,Kolkata Knight Riders,Mumbai Indians,165.0,113.0,Mumbai Indians,Field,KKR,52 runs,Jasprit Bumrah,Dr DY Patil Sports Academy,Mumbai
56,Gujarat Titans,Lucknow Super Giants,144.0,82.0,Gujarat Titans,Bat,Titans,62 runs,Shubman Gill,Maharashtra Cricket Association Stadium,Pune
57,Rajasthan Royals,Delhi Capitals,160.0,161.0,Delhi Capitals,Field,Capitals,8 wickets,Mitchell Marsh,Dr DY Patil Sports Academy,Mumbai
58,Chennai Super Kings,Mumbai Indians,97.0,103.0,Mumbai Indians,Field,Mumbai,5 wickets,Daniel Sams,Wankhede Stadium,Mumbai
59,Punjab Kings,Royal Challengers Bangalore,209.0,155.0,Royal Challengers Bangalore,Field,Punjab,54 runs,Jonny Bairstow,Brabourne Stadium,Mumbai
60,Kolkata Knight Riders,Sunrisers Hyderabad,177.0,123.0,Kolkata Knight Riders,Bat,KKR,54 runs,Andre Russell,Maharashtra Cricket Association Stadium,Pune
61,Chennai Super Kings,Gujarat Titans,133.0,137.0,Chennai Super Kings,Bat,Titans,7 wickets,Wriddhiman Saha,Wankhede Stadium,Mumbai
62,Rajasthan Royals,Lucknow Super Giants,178.0,154.0,Rajasthan Royals,Bat,Royals,24 runs,Trent Boult,Brabourne Stadium,Mumbai
63,Delhi Capitals,Punjab Kings,159.0,142.0,Punjab Kings,Field,Capitals,17 runs,Shardul Thakur,Dr DY Patil Sports Academy,Mumbai
64,Sunrisers Hyderabad,Mumbai Indians,193.0,190.0,Mumbai Indians,Field,Sunrisers,3 runs,Rahul Tripathi,Wankhede Stadium,Mumbai
65,Lucknow Super Giants,Kolkata Knight Riders,210.0,208.0,Lucknow Super Giants,Bat,Super,2 runs,Quinton de Kock,Dr DY Patil Sports Academy,Mumbai
66,Gujarat Titans,Royal Challengers Bangalore,168.0,170.0,Gujarat Titans,Bat,RCB,8 wickets,Virat Kohli,Wankhede Stadium,Mumbai
67,Chennai Super Kings,Rajasthan Royals,150.0,151.0,Chennai Super Kings,Bat,Royals,5 wickets,Ravichandran Ashwin,Brabourne Stadium,Mumbai
68,Delhi Capitals,Mumbai Indians,159.0,160.0,Mumbai Indians,Field,Mumbai,5 wickets,Jasprit Bumrah,Wankhede Stadium,Mumbai
69,Sunrisers Hyderabad,Punjab Kings,157.0,160.0,Sunrisers Hyderabad,Bat,Punjab,5 wickets,Harpreet Brar,Wankhede Stadium,Mumbai
70,Rajasthan Royals,Gujarat Titans,188.0,191.0,Gujarat Titans,Field,Titans,7 wickets,David Miller,Eden Gardens,Kolkata
71,Royal Challengers Bangalore,Lucknow Super Giants,207.0,193.0,Lucknow Super Giants,Field,RCB,14 runs,Rajat Patidar,Eden Gardens,Kolkata
72,Royal Challengers Bangalore,Rajasthan Royals,157.0,161.0,Rajasthan Royals,Field,Royals,7 wickets,Jos Buttler,Narendra Modi Stadium,Ahmedabad
73,Rajasthan Royals,Gujarat Titans,130.0,133.0,Rajasthan Royals,Bat,Titans,7 wickets,Hardik Pandya,Narendra Modi Stadium,Ahmedabad
74,Mumbai Indians,Royal Challengers Bangalore,159.0,160.0,Royal Challengers Bangalore,Field,RCB,2 wickets,Harshal Patel,MA Chidambaram Stadium,Chepauk
75,Chennai Super Kings,Delhi Capitals,188.0,190.0,Delhi Capitals,Field,Capitals,7 wickets,Shikhar Dhawan,Wankhede Stadium,Mumbai
76,Kolkata Knight Riders,Sunrisers Hyderabad,187.0,177.0,Sunrisers Hyderabad,Field,KKR,10 runs,Nitish Rana,MA Chidambaram Stadium,Chepauk
77,Punjab Kings,Rajasthan Royals,221.0,217.0,Rajasthan Royals,Field,Punjab,4 runs,Sanju Samson,Wankhede Stadium,Mumbai
78,Mumbai Indians,Kolkata Knight Riders,152.0,142.0,Kolkata Knight Riders,Field,Mumbai,10 runs,Rahul Chahar,MA Chidambaram Stadium,Chepauk
79,Royal Challengers Bangalore,Sunrisers Hyderabad,149.0,143.0,Sunrisers Hyderabad,Field,RCB,6 runs,Glenn Maxwell,MA Chidambaram Stadium,Chepauk
80,Delhi Capitals,Rajasthan Royals,147.0,150.0,Rajasthan Royals,Field,Royals,3 wickets,Jaydev Unadkat,Wankhede Stadium,Mumbai
81,Punjab Kings,Chennai Super Kings,106.0,107.0,Chennai Super Kings,Field,Super,6 wickets,Deepak Chahar,Wankhede Stadium,Mumbai
82,Mumbai Indians,Sunrisers Hyderabad,150.0,137.0,Mumbai Indians,Bat,Mumbai,13 runs,Kieron Pollard,MA Chidambaram Stadium,Chepauk
83,Royal Challengers Bangalore,Kolkata Knight Riders,204.0,166.0,Royal Challengers Bangalore,Bat,RCB,38 runs,AB de Villiers,MA Chidambaram Stadium,Chepauk
84,Punjab Kings,Delhi Capitals,195.0,198.0,Delhi Capitals,Field,Capitals,6 wickets,Shikhar Dhawan,Wankhede Stadium,Mumbai
85,Chennai Super Kings,Rajasthan Royals,188.0,143.0,Rajasthan Royals,Field,Super,45 runs,Moeen Ali,Wankhede Stadium,Mumbai
86,Mumbai Indians,Delhi Capitals,137.0,138.0,Mumbai Indians,Bat,Capitals,6 wickets,Amit Mishra,MA Chidambaram Stadium,Chepauk
87,Punjab Kings,Sunrisers Hyderabad,120.0,121.0,Punjab Kings,Bat,Sunrisers,9 wickets,Jonny Bairstow,MA Chidambaram Stadium,Chepauk
88,Chennai Super Kings,Kolkata Knight Riders,220.0,202.0,Kolkata Knight Riders,Field,Super,18 runs,Faf du Plessis,Wankhede Stadium,Mumbai
89,Rajasthan Royals,Royal Challengers Bangalore,177.0,181.0,Royal Challengers Bangalore,Field,RCB,10 wickets,Devdutt Padikkal,Wankhede Stadium,Mumbai
90,Mumbai Indians,Punjab Kings,131.0,132.0,Punjab Kings,Field,Punjab,9 wickets,KL Rahul,MA Chidambaram Stadium,Chepauk
91,Kolkata Knight Riders,Rajasthan Royals,133.0,134.0,Rajasthan Royals,Field,Royals,6 wickets,Chris Morris,Wankhede Stadium,Mumbai
92,Chennai Super Kings,Royal Challengers Bangalore,191.0,122.0,Chennai Super Kings,Bat,Super,69 runs,Ravindra Jadeja,Wankhede Stadium,Mumbai
93,Delhi Capitals,Sunrisers Hyderabad,159.0,159.0,Delhi Capitals,Bat,Tied,Tied,Prithvi Shaw,MA Chidambaram Stadium,Chepauk
94,Punjab Kings,Kolkata Knight Riders,123.0,126.0,Kolkata Knight Riders,Field,KKR,5 wickets,Eoin Morgan,Narendra Modi Stadium,Ahmedabad
95,Royal Challengers Bangalore,Delhi Capitals,171.0,170.0,Delhi Capitals,Field,RCB,1 run,AB de Villiers,Narendra Modi Stadium,Ahmedabad
96,Sunrisers Hyderabad,Chennai Super Kings,171.0,173.0,Sunrisers Hyderabad,Bat,Super,7 wickets,Ruturaj Gaikwad,Arun Jaitley Stadium,Delhi
97,Rajasthan Royals,Mumbai Indians,171.0,172.0,Mumbai Indians,Field,Mumbai,7 wickets,Quinton de Kock,Arun Jaitley Stadium,Delhi
98,Kolkata Knight Riders,Delhi Capitals,154.0,156.0,Delhi Capitals,Field,Capitals,7 wickets,Prithvi Shaw,Narendra Modi Stadium,Ahmedabad
99,Punjab Kings,Royal Challengers Bangalore,179.0,145.0,Royal Challengers Bangalore,Field,Punjab,34 runs,Harpreet Brar,Narendra Modi Stadium,Ahmedabad
100,Chennai Super Kings,Mumbai Indians,218.0,219.0,Mumbai Indians,Field,Mumbai,4 wickets,Kieron Pollard,Arun Jaitley Stadium,Delhi
101,Rajasthan Royals,Sunrisers Hyderabad,220.0,165.0,Sunrisers Hyderabad,Field,Royals,55 runs,Jos Buttler,Arun Jaitley Stadium,Delhi
102,Punjab Kings,Delhi Capitals,166.0,167.0,Delhi Capitals,Field,Capitals,7 wickets,Mayank Agarwal,Narendra Modi Stadium,Ahmedabad
103,Chennai Super Kings,Mumbai Indians,156.0,136.0,Chennai Super Kings,Bat,Super,20 runs,Ruturaj Gaikwad,Dubai International Cricket Stadium,
104,Royal Challengers Bangalore,Kolkata Knight Riders,92.0,94.0,Royal Challengers Bangalore,Bat,KKR,9 wickets,Varun Chakravarthy,Zayed Cricket Stadium,Abu Dhabi
105,Rajasthan Royals,Punjab Kings,185.0,183.0,Punjab Kings,Field,Royals,2 runs,Kartik Tyagi,Dubai International Cricket Stadium,
106,Sunrisers Hyderabad,Delhi Capitals,134.0,139.0,Sunrisers Hyderabad,Bat,Capitals,8 wickets,Anrich Nortje,Dubai International Cricket Stadium,
107,Mumbai Indians,Kolkata Knight Riders,155.0,159.0,Kolkata Knight Riders,Field,KKR,7 wickets,Sunil Narine,Zayed Cricket Stadium,Abu Dhabi
108,Royal Challengers Bangalore,Chennai Super Kings,156.0,157.0,Chennai Super Kings,Field,Super,6 wickets,Dwayne Bravo,Sharjah Cricket Stadium,
109,Delhi Capitals,Rajasthan Royals,154.0,121.0,Rajasthan Royals,Field,Capitals,33 runs,Shreyas Iyer,Zayed Cricket Stadium,Abu Dhabi
110,Punjab Kings,Sunrisers Hyderabad,125.0,120.0,Sunrisers Hyderabad,Field,Punjab,5 runs,Jason Holder,Sharjah Cricket Stadium,
111,Kolkata Knight Riders,Chennai Super Kings,171.0,172.0,Kolkata Knight Riders,Bat,Super,2 wickets,Ravindra Jadeja,Zayed Cricket Stadium,Abu Dhabi
112,Royal Challengers Bangalore,Mumbai Indians,165.0,111.0,Mumbai Indians,Field,RCB,54 runs,Glenn Maxwell,Dubai International Cricket Stadium,
113,Rajasthan Royals,Sunrisers Hyderabad,164.0,167.0,Rajasthan Royals,Bat,Sunrisers,7 wickets,Jason Roy,Dubai International Cricket Stadium,
114,Delhi Capitals,Kolkata Knight Riders,127.0,130.0,Kolkata Knight Riders,Field,KKR,3 wickets,Sunil Narine,Sharjah Cricket Stadium,
115,Punjab Kings,Mumbai Indians,135.0,137.0,Mumbai Indians,Field,Mumbai,6 wickets,Kieron Pollard,Zayed Cricket Stadium,Abu Dhabi
116,Rajasthan Royals,Royal Challengers Bangalore,149.0,153.0,Royal Challengers Bangalore,Field,RCB,7 wickets,Yuzvendra Chahal,Dubai International Cricket Stadium,
117,Sunrisers Hyderabad,Chennai Super Kings,134.0,139.0,Chennai Super Kings,Field,Super,6 wickets,Josh Hazlewood,Sharjah Cricket Stadium,
118,Kolkata Knight Riders,Punjab Kings,165.0,168.0,Punjab Kings,Field,Punjab,5 wickets,KL Rahul,Dubai International Cricket Stadium,
119,Mumbai Indians,Delhi Capitals,129.0,132.0,Delhi Capitals,Field,Capitals,4 wickets,Axar Patel,Sharjah Cricket Stadium,
120,Chennai Super Kings,Rajasthan Royals,189.0,190.0,Rajasthan Royals,Field,Royals,7 wickets,Ruturaj Gaikwad,Zayed Cricket Stadium,Abu Dhabi
121,Royal Challengers Bangalore,Punjab Kings,164.0,158.0,Royal Challengers Bangalore,Bat,RCB,6 runs,Glenn Maxwell,Sharjah Cricket Stadium,
122,Sunrisers Hyderabad,Kolkata Knight Riders,115.0,119.0,Sunrisers Hyderabad,Bat,KKR,6 wickets,Shubman Gill,Dubai International Cricket Stadium,
123,Chennai Super Kings,Delhi Capitals,136.0,139.0,Delhi Capitals,Field,Capitals,3 wickets,Axar Patel,Dubai International Cricket Stadium,
124,Rajasthan Royals,Mumbai Indians,90.0,94.0,Mumbai Indians,Field,Mumbai,8 wickets,Nathan Coulter-Nile,Sharjah Cricket Stadium,
125,Sunrisers Hyderabad,Royal Challengers Bangalore,141.0,137.0,Royal Challengers Bangalore,Field,Sunrisers,4 runs,Kane Williamson,Zayed Cricket Stadium,Abu Dhabi
126,Chennai Super Kings,Punjab Kings,134.0,139.0,Punjab Kings,Field,Punjab,6 wickets,KL Rahul,Dubai International Cricket Stadium,
127,Kolkata Knight Riders,Rajasthan Royals,171.0,85.0,Rajasthan Royals,Field,KKR,86 runs,Shivam Mavi,Sharjah Cricket Stadium,
128,Delhi Capitals,Royal Challengers Bangalore,164.0,166.0,Royal Challengers Bangalore,Field,RCB,7 wickets,Srikar Bharat,Dubai International Cricket Stadium,
129,Mumbai Indians,Sunrisers Hyderabad,235.0,193.0,Mumbai Indians,Bat,Mumbai,42 runs,Ishan Kishan,Zayed Cricket Stadium,Abu Dhabi
130,Delhi Capitals,Chennai Super Kings,172.0,173.0,Chennai Super Kings,Field,Super,4 wickets,Ruturaj Gaikwad,Dubai International Cricket Stadium,
131,Royal Challengers Bangalore,Kolkata Knight Riders,138.0,139.0,Royal Challengers Bangalore,Bat,KKR,4 wickets,Sunil Narine,Sharjah Cricket Stadium,
132,Delhi Capitals,Kolkata Knight Riders,135.0,136.0,Kolkata Knight Riders,Field,KKR,3 wickets,Venkatesh Iyer,Sharjah Cricket Stadium,
133,Chennai Super Kings,Kolkata Knight Riders,192.0,165.0,Kolkata Knight Riders,Field,Super,27 runs,Faf du Plessis,Dubai International Cricket Stadium,
134,Mumbai Indians,Chennai Super Kings,162.0,166.0,Chennai Super Kings,Field,Super,5 wickets,Ambati Rayudu,Zayed Cricket Stadium,Abu Dhabi
135,Delhi Capitals,Kings XI Punjab,157.0,157.0,Kings XI Punjab,Field,Tied,Tied,Marcus Stoinis,Dubai International Cricket Stadium,
136,Royal Challengers Bangalore,Sunrisers Hyderabad,163.0,153.0,Sunrisers Hyderabad,Field,RCB,10 runs,Yuzvendra Chahal,Dubai International Cricket Stadium,
137,Rajasthan Royals,Chennai Super Kings,216.0,200.0,Chennai Super Kings,Field,Royals,16 runs,Sanju Samson,Sharjah Cricket Stadium,
138,Mumbai Indians,Kolkata Knight Riders,195.0,146.0,Kolkata Knight Riders,Field,Mumbai,49 runs,Rohit Sharma,Zayed Cricket Stadium,Abu Dhabi
139,Kings XI Punjab,Royal Challengers Bangalore,206.0,109.0,Royal Challengers Bangalore,Field,Kings,97 runs,KL Rahul,Dubai International Cricket Stadium,
140,Delhi Capitals,Chennai Super Kings,175.0,131.0,Chennai Super Kings,Field,Capitals,44 runs,Prithvi Shaw,Dubai International Cricket Stadium,
141,Sunrisers Hyderabad,Kolkata Knight Riders,142.0,145.0,Sunrisers Hyderabad,Bat,KKR,7 wickets,Shubman Gill,Zayed Cricket Stadium,Abu Dhabi
142,Kings XI Punjab,Rajasthan Royals,223.0,226.0,Rajasthan Royals,Field,Royals,4 wickets,Sanju Samson,Sharjah Cricket Stadium,
143,Royal Challengers Bangalore,Mumbai Indians,201.0,201.0,Mumbai Indians,Field,Tied,Tied,AB de Villiers,Dubai International Cricket Stadium,
144,Sunrisers Hyderabad,Delhi Capitals,162.0,147.0,Delhi Capitals,Field,Sunrisers,15 runs,Rashid Khan,Zayed Cricket Stadium,Abu Dhabi
145,Kolkata Knight Riders,Rajasthan Royals,174.0,137.0,Rajasthan Royals,Field,KKR,37 runs,Shivam Mavi,Dubai International Cricket Stadium,
146,Mumbai Indians,Kings XI Punjab,191.0,143.0,Kings XI Punjab,Field,Mumbai,48 runs,Kieron Pollard,Zayed Cricket Stadium,Abu Dhabi
147,Sunrisers Hyderabad,Chennai Super Kings,164.0,157.0,Sunrisers Hyderabad,Bat,Sunrisers,7 runs,Priyam Garg,Dubai International Cricket Stadium,
148,Rajasthan Royals,Royal Challengers Bangalore,154.0,158.0,Rajasthan Royals,Bat,RCB,8 wickets,Yuzvendra Chahal,Zayed Cricket Stadium,Abu Dhabi
149,Delhi Capitals,Kolkata Knight Riders,228.0,210.0,Kolkata Knight Riders,Field,Capitals,18 runs,Shreyas Iyer,Sharjah Cricket Stadium,
150,Mumbai Indians,Sunrisers Hyderabad,208.0,174.0,Mumbai Indians,Bat,Mumbai,34 runs,Trent Boult,Sharjah Cricket Stadium,
151,Kings XI Punjab,Chennai Super Kings,178.0,181.0,Kings XI Punjab,Bat,Super,10 wickets,Shane Watson,Dubai International Cricket Stadium,
152,Delhi Capitals,Royal Challengers Bangalore,196.0,137.0,Royal Challengers Bangalore,Field,Capitals,59 runs,Axar Patel,Dubai International Cricket Stadium,
153,Mumbai Indians,Rajasthan Royals,193.0,136.0,Mumbai Indians,Bat,Mumbai,57 runs,Suryakumar Yadav,Zayed Cricket Stadium,Abu Dhabi
154,Kolkata Knight Riders,Chennai Super Kings,167.0,157.0,Kolkata Knight Riders,Bat,KKR,10 runs,Rahul Tripathi,Zayed Cricket Stadium,Abu Dhabi
155,Sunrisers Hyderabad,Kings XI Punjab,201.0,132.0,Sunrisers Hyderabad,Bat,Sunrisers,69 runs,Jonny Bairstow,Dubai International Cricket Stadium,
156,Delhi Capitals,Rajasthan Royals,184.0,138.0,Rajasthan Royals,Field,Capitals,46 runs,Ravichandran Ashwin,Sharjah Cricket Stadium,
157,Kolkata Knight Riders,Kings XI Punjab,164.0,162.0,Kolkata Knight Riders,Bat,KKR,2 runs,Dinesh Karthik,Zayed Cricket Stadium,Abu Dhabi
158,Royal Challengers Bangalore,Chennai Super Kings,169.0,132.0,Royal Challengers Bangalore,Bat,RCB,37 runs,Virat Kohli,Dubai International Cricket Stadium,
159,Sunrisers Hyderabad,Rajasthan Royals,158.0,163.0,Sunrisers Hyderabad,Bat,Royals,5 wickets,Rahul Tewatia,Dubai International Cricket Stadium,
160,Delhi Capitals,Mumbai Indians,162.0,166.0,Delhi Capitals,Bat,Mumbai,5 wickets,Quinton de Kock,Zayed Cricket Stadium,Abu Dhabi
161,Royal Challengers Bangalore,Kolkata Knight Riders,194.0,112.0,Royal Challengers Bangalore,Bat,RCB,82 runs,AB de Villiers,Sharjah Cricket Stadium,
162,Chennai Super Kings,Sunrisers Hyderabad,167.0,147.0,Chennai Super Kings,Bat,Super,20 runs,Ravindra Jadeja,Dubai International Cricket Stadium,
163,Delhi Capitals,Rajasthan Royals,161.0,148.0,Delhi Capitals,Bat,Capitals,13 runs,Anrich Nortje,Dubai International Cricket Stadium,
164,Royal Challengers Bangalore,Kings XI Punjab,171.0,177.0,Royal Challengers Bangalore,Bat,Kings,8 wickets,KL Rahul,Sharjah Cricket Stadium,
165,Kolkata Knight Riders,Mumbai Indians,148.0,149.0,Kolkata Knight Riders,Bat,Mumbai,8 wickets,Quinton de Kock,Zayed Cricket Stadium,Abu Dhabi
166,Rajasthan Royals,Royal Challengers Bangalore,177.0,179.0,Rajasthan Royals,Bat,RCB,7 wickets,AB de Villiers,Dubai International Cricket Stadium,
167,Chennai Super Kings,Delhi Capitals,179.0,185.0,Chennai Super Kings,Bat,Capitals,5 wickets,Shikhar Dhawan,Sharjah Cricket Stadium,
168,Kolkata Knight Riders,Sunrisers Hyderabad,163.0,163.0,Sunrisers Hyderabad,Field,Tied,Tied,Lockie Ferguson,Zayed Cricket Stadium,Abu Dhabi
169,Mumbai Indians,Kings XI Punjab,176.0,176.0,Mumbai Indians,Bat,Tied,Tied,KL Rahul,Dubai International Cricket Stadium,
